Region,Segment,Sub-segment,Sub-segment 1,Sub-segment 2,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033
Canada,By Retail Format,Supermarkets & Hypermarkets,Supermarkets & Hypermarkets,Supermarkets & Hypermarkets,"6,292","6,944","7,669","8,463","9,327","10,268","11,296","12,432","13,683","15,071","16,595","18,243","20,035"
Canada,By Retail Format,Convenience Stores,Convenience Stores,Convenience Stores,"1,559","1,740","1,945","2,172","2,420","2,699","3,005","3,354","3,740","4,171","4,648","5,168","5,739"
Canada,By Retail Format,Specialty and Discount Stores,Specialty and Discount Stores,Specialty and Discount Stores,"1,256","1,382","1,520","1,669","1,828","2,001","2,194","2,410","2,646","2,906","3,186","3,490","3,820"
Canada,By Retail Format,Department Stores,Department Stores,Department Stores,788,860,937,"1,020","1,112","1,208","1,314","1,429","1,554","1,692","1,839","1,997","2,165"
Canada,By Retail Format,Warehouse Clubs,Warehouse Clubs,Warehouse Clubs,"1,712","1,938","2,193","2,480","2,804","3,173","3,598","4,082","4,625","5,237","5,920","6,680","7,528"
Canada,By Retail Format,Pharmacies & Drugstores,Pharmacies & Drugstores,Pharmacies & Drugstores,638,695,754,816,884,955,"1,036","1,122","1,218","1,320","1,430","1,546","1,671"
Europe,By Component,Hardware,Kiosk Scanner Devices,Single-plane Kiosk Scanners,"52,279","56,270","60,598","65,236","70,163","75,449","81,133","87,295","93,885","100,994","108,478","116,284","124,491"
Europe,By Component,Hardware,Kiosk Scanner Devices,Multi-plane (Bioptic) Kiosk Scanners,"22,608","24,507","26,564","28,740","31,044","33,492","36,130","39,013","42,119","45,447","48,958","52,626","56,499"
Europe,By Component,Hardware,Kiosk Scanner Devices,Presentation Kiosk Scanners,"23,830","26,047","28,493","31,140","33,982","37,027","40,338","43,970","47,889","52,159","56,680","61,431","66,483"
Europe,By Component,Hardware,Dedicated / Retailer-Supplied Mobile Devices,Dedicated / Retailer-Supplied Mobile Devices,"23,567","26,315","29,370","32,729","36,423","40,485","44,987","50,007","55,558","61,727","68,513","75,937","84,084"
Europe,By Component,Hardware,Smart-Cart Units,Smart-Cart Units,"4,816","5,411","6,076","6,818","7,640","8,551","9,569","10,712","11,989","13,420","14,997","16,733","18,644"
Europe,By Component,Hardware,Kiosk Terminals / Display + Controller,Kiosk Terminals / Display + Controller,"40,965","45,426","50,392","55,823","61,696","68,020","74,939","82,563","90,915","100,161","110,170","120,899","132,513"
Europe,By Component,Hardware,Payment Units,Payment Units,"53,800","58,513","63,596","69,025","74,849","81,146","88,048","95,606","103,710","112,444","121,701","131,503","141,945"
Europe,By Component,Hardware,Kiosk Cabinet / Enclosure,Kiosk Cabinet / Enclosure,"49,195","52,738","56,572","60,649","64,917","69,425","74,244","79,477","85,051","91,030","97,278","103,723","110,447"
Europe,By Component,Hardware,Receipt Printer,Receipt Printer,"61,188","65,098","69,233","73,542","78,066","82,795","87,801","93,123","98,688","104,513","110,560","116,760","123,172"
