Region,Segment,Sub-segment,Sub-segment 1,Sub-segment 2,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033
North America,By Component,Software,"Others (Analytics & Dashboard Software, etc.)","Others (Analytics & Dashboard Software, etc.)",14.3,15.9,17.8,19.9,22.2,24.8,27.6,30.8,34.5,38.7,43.4,48.6,54.4
North America,By Component,Services,Managed Services,Managed Services,143.1,160.6,180.2,202.6,229.1,260.5,297.7,341.0,390.3,446.6,510.7,584.3,668.6
North America,By Component,Services,Professional Services,Professional Services,106.3,119.8,135.0,152.1,171.1,192.4,216.6,244.5,276.7,313.2,354.8,401.5,454.0
North America,By Product Type,Fixed-Position Self-Scanning Kiosks,Single-Plane Self-Scanning Kiosks,Single-Plane Self-Scanning Kiosks,276.8,304.6,334.8,367.9,404.4,445.2,491.4,543.3,601.0,664.6,735.2,813.3,899.2
North America,By Product Type,Fixed-Position Self-Scanning Kiosks,Multi-Plane Self-Scanning Kiosks,Multi-Plane Self-Scanning Kiosks,306.5,341.3,380.4,424.4,474.0,530.3,594.3,667.0,749.1,841.2,944.0,"1,058.2","1,184.8"
North America,By Product Type,Fixed-Position Self-Scanning Kiosks,Presentation Self-Scanning Kiosks,Presentation Self-Scanning Kiosks,128.0,141.9,157.5,175.0,194.4,215.8,239.8,266.7,297.2,331.6,370.1,412.7,459.8
North America,By Product Type,Mobile Self-Scanning Solutions,Dedicated Mobile Self-Scanning Devices,Dedicated Mobile Self-Scanning Devices,46.6,53.5,61.5,70.8,81.5,93.8,108.2,124.9,144.5,167.1,193.2,222.9,257.0
North America,By Product Type,Mobile Self-Scanning Solutions,Smartphone-Based Self-Scanning,Smartphone-Based Self-Scanning,19.6,23.0,27.0,31.6,37.1,43.6,51.4,60.6,71.5,84.3,99.5,117.3,138.2
North America,By Product Type,Mobile Self-Scanning Solutions,Smart-Cart-Based Self-Scanning,Smart-Cart-Based Self-Scanning,21.1,25.1,29.9,35.6,42.4,50.6,60.4,72.2,86.5,103.7,124.2,148.7,177.7
North America,By Model Type,Cash Model,Cash Model,Cash Model,256.7,281.6,309.3,340.1,374.3,412.4,455.0,502.3,554.7,612.4,675.6,744.9,820.6
North America,By Model Type,Cashless Model,Cashless Model,Cashless Model,541.9,607.8,681.9,765.2,859.5,967.0,"1,090.4","1,232.6","1,395.0","1,580.2","1,790.5","2,028.1","2,296.1"
North America,By Technology,Barcode Scanning (1D/2D),Barcode Scanning (1D/2D),Barcode Scanning (1D/2D),702.9,778.0,861.3,953.8,"1,057.1","1,173.0","1,304.0","1,451.9","1,617.7","1,802.5","2,008.0","2,235.3","2,485.7"
North America,By Technology,RFID-Based Scanning,RFID-Based Scanning,RFID-Based Scanning,28.1,31.6,35.4,39.6,44.4,49.9,56.2,63.4,71.6,80.8,91.2,103.0,116.3
